时间,UID,用户名,注册时间,用户等级,牌子,用户直播间等级,SC内容,金额,删除
2022/5/21 22:02,30488,希德瑞利巴,,,顶碗人(22),14,神中神！无所不往！,100,
2022/5/21 22:02,21329357,库玛Higuma,,,顶碗人(24),12,好好好好好好，要一直一直走下去呀！！！,50,
2022/5/21 22:02,443691,nicknameless,,,顶碗人(6),11,好棒好棒好棒！！！,30,
2022/5/21 22:02,14253792,Boscov,,,奶淇琳(23),11,寄明月！,30,
2022/5/21 22:02,28420329,我就是阿楚啊,,,嘉心糖(24),15,姑娘们辛苦了，看的到你们的热爱和努力，你们无愧于偶像,50,
2022/5/21 22:02,57208288,胖胖的雷猴,,,顶碗人(1),1,乃贝最强！,30,
2022/5/21 22:02,7182005,亲亲乃宝,,,顶碗人(4),17,继续加油！,30,
2022/5/21 22:02,32486866,昵称只有一个字的铭,,,嘉心糖(26),16,今晚节目很好，加油！,100,
2022/5/21 22:02,12187020,我一直都是顶碗人啊,,,顶碗人(27),21,想起了2021春节的寄明月！ 真是梦开始的地方啊 无论如何我会一直陪着晚晚的！加油啊晚晚！,100,
2022/5/21 22:02,179118890,FADA5E,,,嘉心糖(24),13,A不灭！！！！！！！！！！！！！！！！！！！！,100,
2022/5/21 22:02,24866107,Lycori4,,,奶淇琳(23),20,令人感叹,33,
2022/5/21 22:02,84001936,兰德kira,,,顶碗人(21),13,以前的村子回来了,30,
2022/5/21 22:03,10927590,时间回忆归于0,,,奶淇琳(26),20,女团定律：四人团都一定会大火！我们as一定也可以,50,
2022/5/21 22:03,4281651,大饼夹一切在逃卷圈,,,奶淇琳(23),13,一心向前！,30,
2022/5/21 22:03,629687529,jhinsokon,,,嘉心糖(7),8,神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！,100,
2022/5/21 22:03,46576044,陪乃琳长大捏,,,嘉心糖(21),20,神中神,50,
2022/5/21 22:03,57099038,流水东逝,,,顶碗人(11),10,永远爱你们！,30,
2022/5/21 22:03,5240968,neo_balabala,,,奶淇琳(21),12,姑娘们辛苦了～,30,
2022/5/21 22:03,12493575,是Au不是Au,,,奶淇琳(23),21,神中神,30,
2022/5/21 22:03,526120311,未来理子的绝美爱情,,,顶碗人(11),10,好好好好好好,50,
2022/5/21 22:03,5547191,枝江彩绘,,,顶碗人(26),24,神中神！,100,
2022/5/21 22:03,53962104,飞向晚晚的床,,,嘉心糖(3),10,奥利安费allin,30,
2022/5/21 22:03,36456969,六一柒Kira困,,,奶淇琳(21),11,永远喜欢你们！,52,
2022/5/21 22:03,11438046,shallowdreamTnT,,,御绫军(14),25,大家一起加油,100,
2022/5/21 22:03,238981,小然今天睡什么,,,嘉心糖(25),12,ASOUL时代，沸腾期待，我们一起去鸟巢！,100,
2022/5/21 22:03,3206739,陪嘉然吃遍大江南北,,,嘉心糖(23),20,神中神！爱你们！,30,
2022/5/21 22:03,24566370,寒溪雁度,,,顶碗人(22),11,兄弟们憋吵辣，姑娘们跳舞多辛苦啊,30,
2022/5/21 22:03,335136925,鲜花饼真好吃,,,嘉心糖(22),9,大哥在看吗 在看的话mua你一下,30,
2022/5/21 22:03,424541,everybackcr,,,嘉心糖(25),21,四人刚刚好！,50,
2022/5/21 22:04,35657801,七七七七七七二,,,嘉心糖(15),10,你就是奥利安费all in！以前的感觉回来了！,30,
2022/5/21 22:04,127130,Jolkaze,,,奶淇琳(23),27,神回！四位姑娘辛苦啦！,100,
2022/5/21 22:04,222641849,VJOKERZJX,,,顶碗人(25),21,一直支持你们！一直相信你们！一直爱你们！今天真的好开心,100,
2022/5/21 22:04,15233618,白日做梦游,,,贝极星(1),1,神回！谁赞成谁反对？,30,
2022/5/21 22:04,25092043,南淮旧梦-,,,猫诺(5),20,好好看直播最实际，最开心,30,
2022/5/21 22:04,1749744666,茨木ツバサ,,,顶碗人(3),2,晚安！姑娘们注意身体和嗓子好好休息！陪你们。,50,
2022/5/21 22:04,21943894,tryーeverything,,,奶淇琳(21),15,要一直走下去呀,50,
2022/5/21 22:05,1586773071,polaris_kira,,,贝极星(21),3,今天看得太开心了！神回！,30,
2022/5/21 22:06,2044813,雨在水无月的天空,,,贝极星(22),20,爱真的需要勇气,100,
2022/5/21 22:08,31319544,Ayarinn提不起勁,,,嘉心糖(27),38, ,30,
2022/5/21 22:08,1818172829,比你们更爱慧慧,,,顶碗人(22),6,沉香们别急,100,148秒后被删除
2022/5/21 22:09,95586,玖渚羽,,,嘉心糖(25),20,好棒好开心，好像回到了去年五月,50,
2022/5/21 22:09,497393797,慕慕慕青峰,,,嘉心糖(22),6,江湖虽远，吾道不孤（有你们）,100,
