时间,UID,用户名,注册时间,用户等级,牌子,用户直播间等级,SC内容,金额,删除
2022/5/21 20:36,429080,桐谷诗乃,,,顶碗人(23),20,贝拉你使我疯狂!,30,
2022/5/21 20:36,26087317,小伞奈奈良,,,顶碗人(24),16,6666,50,
2022/5/21 20:36,6462210,kuma熊sama,,,贝极星(22),11,贝拉最强！,30,
2022/5/21 20:36,3874017,INNOMAGA,,,顶碗人(23),16,晚上好，姑娘们！（）,30,
2022/5/21 20:36,6190457,一堵百合墙,,,顶碗人(5),11,拉宝！！！飞飞飞！！！唱到我心坎里了！！！,50,
2022/5/21 20:36,369379760,Yeemaa,,,顶碗人(6),2,经典曲目，完美演绎！,30,
2022/5/21 20:37,13421217,逆天之烛火,,,贝极星(22),19,我宣布武林萌主就是贝拉,30,
2022/5/21 20:37,4801462,遇雨迷樱,,,贝极星(24),20,贝盟主这是几成功力?,30,
2022/5/21 20:37,626026,神田空太❤,,,顶碗人(25),20,贝拉啊啊啊啊啊啊啊啊啊啊啊啊,100,
2022/5/21 20:39,3000137,普通用户0101,,,宠萋狂(24),17,老公好棒！！！！开开心心保重身体！！！还有坨子你对得起我老公嘛？,50,
2022/5/21 20:39,207522193,叶若团子,,,顶碗人(7),10,盟主在上！,50,
2022/5/21 20:39,7890681,枝江一个Tun儿,,,嘉心糖(24),17,贝盟主武功盖世，天下无双！,100,
2022/5/21 20:39,16305720,半夜三点零一,,,育雏士(26),16,太强了拉姐,30,
2022/5/21 20:39,690189671,南天星的疆与界,,,顶碗人(5),11,拉姐！听你唱歌好爽！！！,50,
2022/5/21 20:39,629687529,jhinsokon,,,嘉心糖(7),6,我宣布冠军已经诞生了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,100,
2022/5/21 20:39,3278213,提拉kira,,,贝极星(27),21,老公啊啊啊啊啊啊啊啊啊啊,100,
2022/5/21 20:39,1247513872,NextClown,,,贝极星(24),11,贝姑姑，我是过儿啊,50,
2022/5/21 20:39,207168,基友king,,,嘉心糖(22),20,晚盟主！原友的选择！晚盟主！原友的选择！晚盟主！原友的选择！,30,
2022/5/21 20:40,23643593,来自iphone13mini,,,奶淇琳(23),10,vocal担当贝拉拉！,30,
2022/5/21 20:41,267710,嘉晚大魔王,,,嘉晚饭(17),13,然少主！！！！！！,30,
2022/5/21 20:41,5547191,枝江彩绘,,,顶碗人(26),24,好好好,1000,
2022/5/21 20:41,82299,小仓今天也,,,顶碗人(23),14,贝拉厉害了！,50,
2022/5/21 20:41,26114356,澪zore,,,贝极星(22),13,vocal担当绵绵兔！,30,
2022/5/21 20:41,12235630,゛薛定谔的喵,,,嘉心糖(28),22,“宝宝”咋们回嘉！,50,
2022/5/21 20:41,2696152,吴冠超official,,,嘉心糖(25),20,硬实力冠军-贝拉,521,
2022/5/21 20:42,629687529,jhinsokon,,,嘉心糖(7),7,喜报！RNG先下一城！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,100,
2022/5/21 20:42,1554150052,魔法少女贝拉拉kira,,,贝极星(24),12,我要和贝拉结婚！我要和贝拉结婚！我要和贝拉结婚！,30,
2022/5/21 20:43,1524292644,xxback233,,,顶碗人(22),10,A-SOUL的高音王后·初始牛圣·大聪明——贝拉，终将降临于属于她的枝江,50,
2022/5/21 20:43,5932594,白色羽毛与歌丶,,,奶淇琳(15),22,乃琳学姐，请和我交往！！！,50,
2022/5/21 20:43,142197,拉基DD,,,顶碗人(23),23,宫主娶我好不好！,100,
2022/5/21 20:45,611478349,A-soul从入门到精通,,,嘉心糖(23),8,陌上人如玉，宫主世无双,50,
2022/5/21 20:45,3278213,提拉kira,,,贝极星(27),21,好好好，芜湖飞起来了,50,
2022/5/21 20:45,23379062,12莫名其妙34,,,,21,虽然我是贝极派小弟子，但是四位高人芳华绝代，聘婷婉约，真令我难以抉择！,1000,
2022/5/21 20:45,1623625258,衿粒惹冲呀,,,顶碗人(1),0,好好好，奕米伍太帅了,30,22秒后被删除
2022/5/21 20:46,477603043,回旋枸,,,贝极星(21),2,不比武了，我们结婚,100,
2022/5/21 20:46,34871574,你就说是不是吧,,,贝极星(11),10,药膳来了，宫主吃我！,50,
2022/5/21 20:47,58458687,emmm__NO,,,顶碗人(11),12,我，乃宫主的药渣罢了。,100,
2022/5/21 20:48,217068127,乃琳今天川酷子了吗,,,奶淇琳(17),3,不比武了，我们成亲,30,
2022/5/21 20:48,299727433,次元境界,,,嘉心糖(25),18,1234,30,
2022/5/21 20:48,2093075437,羊驼提不起勁,,,杉茶花(3),10,乃宝你唱得真好，你做歌担吧，其他人好像，呃呃,50,24秒后被删除
2022/5/21 20:48,2100557,delyc,,,,10,贝拉！！！,50,
2022/5/21 20:49,1504347138,圣33冰清玉洁,,,贝极星(4),3,顶碗帮最强！,30,
2022/5/21 20:49,3278213,提拉kira,,,贝极星(27),21,哇哦，这就加入贝极派,50,
2022/5/21 20:52,4262960,骑着闰土的迅哥儿,,,顶碗人(4),2,乃宝不哭，你可以做盟主夫人哦,30,
2022/5/21 20:54,1352457979,マリン马琳,,,顶碗人(26),20,倚天屠龙记之魔教教主-至今还是没在大都见,50,
2022/5/21 20:54,23161269,nino_璋饬,,,中单(25),20,乃老师触发被动了,50,
2022/5/21 20:57,1679391730,别想太多简简单单,,,贝极星(27),20,拉姐，唱得真好,100,
2022/5/21 20:57,321527328,_船底星_,,,顶碗人(10),11,大聪明是最聪明的！！！,52,
2022/5/21 20:58,131246,谭绿茶,,,贝极星(2),0,贝拉：《施舍》,30,9秒后被删除
2022/5/21 21:00,31443733,HoratioNelson1st,,,毒奶橙(5),4,A-SOUL的好姑娘们，今天我毕业季加过生日，好开心，也祝你们永远幸福快乐平安！,30,
2022/5/21 21:00,3574099,KIVATO,,,玉守(3),15,永远喜欢你们,50,
2022/5/21 21:01,928131,贝贝珈乐,,,贝极星(25),26,晚晚注意米线,50,
2022/5/21 21:02,396806328,小煮最可爱,,,奶淇琳(22),10,521快乐呀！,100,
2022/5/21 21:02,1586773071,polaris_kira,,,贝极星(21),2,有挂！,30,
2022/5/21 21:02,299727433,次元境界,,,嘉心糖(25),18,嗨慕,30,
2022/5/21 21:03,244482211,homura_焰,,,嘉心糖(12),2,晚晚，你知道为什么一朵花很好笑吗？因为她有梗！！！,30,
2022/5/21 21:03,516227724,就看看Zaire,,,顶碗人(3),4,完啦，贝掌门要三连亚了,30,
2022/5/21 21:06,1888767,じ瑕在瑾中,,,小莫il(21),14,加油女孩们,50,
2022/5/21 21:07,1865915392,坠落-轨迹,,,顶碗人(22),2,顶碗人们在哪里，不要再团推偏晚了好吗，给wei粉一个家,100,
2022/5/21 21:07,158423687,还差少多,,,贝极星(25),16,乃宝跟大家要注意嗓子的啦,30,
2022/5/21 21:09,249727583,大星星看小世界,,,奶淇琳(5),11,太哈人了吧，哈哈哈哈,30,
